สรุปภาพรวมการเสนอคำขอรับการสนุบสนุนงบประมาณเงินอุดหนุนเฉพาะกิจขององค์กรปกครองส่วนท้องถิ่น (เทศบาลตำบลและองค์การบริหารส่วนตำบล),,,,,,,,,,,,,,,
ประจำปีงบประมาณ พ.ศ. 2566,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,, หน่วย : บาท
ลำดับ,จังหวัด,จังหวัด,อำเภอ,ประเภท,อปท.,คำขอ อปท. (ทต. และ อบต.) ผ่านระบบ SOLA,,,,สถ. ทำคำขอในระบบ e-Budgeting,,,,พ.ร.บ. งบประมาณรายจ่ายประจำปี 66,
,,,,,,รายการ, งบประมาณรวม, คำขอเงินอุดหนุน, เงินสมทบ,รายการ, งบประมาณรวม, คำขอเงินอุดหนุน, เงินสมทบ,รายการ, งบประมาณ
,,,,,,"5,434", แห่ง,,,"5,347", แห่ง,,,"5,640", แห่ง
,,,,,,"32,167","  121,495,318,700 ","  120,765,925,000 ","729,393,700","30,387 ","  71,302,418,600 ","  71,169,426,600 ","  132,992,000 ","12,294 ","  35,817,336,900 "
1,กระบี่ เกาะลันตา ทต.เกาะลันตาใหญ่,กระบี่,เกาะลันตา,ทต.,ทต.เกาะลันตาใหญ่,0,  -   ,  -   ,  -   ,0 ,  -   ,  -   ,  -   ,0 ,  -   
2,กระบี่ เกาะลันตา ทต.ศาลาด่าน,กระบี่,เกาะลันตา,ทต.,ทต.ศาลาด่าน,3,"  6,250,300 ","  6,250,300 ",  -   ,0 ,  -   ,  -   ,  -   ,1 ,"  18,700 "
3,กระบี่ เกาะลันตา อบต.เกาะกลาง,กระบี่,เกาะลันตา,อบต.,อบต.เกาะกลาง,4,"  30,247,000 ","  30,247,000 ",  -   ,4 ,"  10,697,000 ","  10,697,000 ",  -   ,3 ,"  10,715,700 "
4,กระบี่ เกาะลันตา อบต.เกาะลันตาน้อย,กระบี่,เกาะลันตา,อบต.,อบต.เกาะลันตาน้อย,0,  -   ,  -   ,  -   ,0 ,  -   ,  -   ,  -   ,1 ,"  18,700 "
5,กระบี่ เกาะลันตา อบต.เกาะลันตาใหญ่,กระบี่,เกาะลันตา,อบต.,อบต.เกาะลันตาใหญ่,0,  -   ,  -   ,  -   ,0 ,  -   ,  -   ,  -   ,0 ,  -   
6,กระบี่ เกาะลันตา อบต.คลองยาง,กระบี่,เกาะลันตา,อบต.,อบต.คลองยาง,1,"  22,200,000 ","  19,980,000 ","  2,220,000 ",1 ,  -   ,  -   ,  -   ,1 ,"  18,700 "
7,กระบี่ เขาพนม ทต.เขาพนม,กระบี่,เขาพนม,ทต.,ทต.เขาพนม,9,"  40,873,400 ","  40,873,400 ",  -   ,9 ,"  30,983,400 ","  30,983,400 ",  -   ,2 ,"  7,333,400 "
8,กระบี่ เขาพนม อบต.เขาดิน,กระบี่,เขาพนม,อบต.,อบต.เขาดิน,4,"  23,259,100 ","  21,737,400 ","  1,521,700 ",4 ,"  23,359,100 ","  21,837,400 ","  1,521,700 ",3 ,"  13,470,500 "
