สรุปภาพรวมการเสนอคำขอรับการสนุบสนุนงบประมาณเงินอุดหนุนเฉพาะกิจขององค์กรปกครองส่วนท้องถิ่น (เทศบาลตำบลและองค์การบริหารส่วนตำบล),,,,,,,,,,,,,,,
ประจำปีงบประมาณ พ.ศ. 2567,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,, หน่วย : บาท
ลำดับ,Mix,จังหวัด,อำเภอ,ประเภท,อปท.,คำขอ อปท. (ทต. และ อบต.) ผ่านระบบ SOLA,,,,สถ. ทำคำขอในระบบ e-Budgeting,,,,พ.ร.บ. 2567 *,
,,,,,,รายการ, งบประมาณรวม, คำขอเงินอุดหนุน, เงินสมทบ,รายการ, งบประมาณรวม, คำขอเงินอุดหนุน, เงินสมทบ,รายการ, งบประมาณรวม
,,,,,,"6,428", แห่ง,,,"6,354", แห่ง,,,0, แห่ง
,,,,,,"46,260","  196,645,841,000 ","  194,325,818,500 ","2,310,956,500","26,305 ","  90,646,365,800 ","  90,549,303,900 ","  97,063,500 ",0 ,  -   
1,กระบี่ เกาะลันตา ทต.เกาะลันตาใหญ่,กระบี่,เกาะลันตา,ทต.,ทต.เกาะลันตาใหญ่,,,,,,,,,,
2,กระบี่ เกาะลันตา ทต.ศาลาด่าน,กระบี่,เกาะลันตา,ทต.,ทต.ศาลาด่าน,4,"  16,872,800 ","  16,872,800 ",  -   ,3 ,"  6,913,600 ","  6,913,600 ",  -   ,,
3,กระบี่ เกาะลันตา อบต.เกาะกลาง,กระบี่,เกาะลันตา,อบต.,อบต.เกาะกลาง,6,"  31,639,000 ","  31,639,000 ",  -   ,5 ,"  21,657,000 ","  21,657,000 ",  -   ,,
4,กระบี่ เกาะลันตา อบต.เกาะลันตาน้อย,กระบี่,เกาะลันตา,อบต.,อบต.เกาะลันตาน้อย,,,,,,,,,,
5,กระบี่ เกาะลันตา อบต.เกาะลันตาใหญ่,กระบี่,เกาะลันตา,อบต.,อบต.เกาะลันตาใหญ่,3,"  28,389,000 ","  26,731,500 ","  1,657,500 ",3 ,"  28,389,000 ","  26,731,500 ","  1,657,500 ",,
6,กระบี่ เกาะลันตา อบต.คลองยาง,กระบี่,เกาะลันตา,อบต.,อบต.คลองยาง,2,"  15,847,000 ","  15,847,000 ",  -   ,1 ,"  7,335,000 ","  7,335,000 ",  -   ,,
7,กระบี่ เขาพนม ทต.เขาพนม,กระบี่,เขาพนม,ทต.,ทต.เขาพนม,7,"  41,359,200 ","  40,131,900 ","  1,227,300 ",3 ,"  16,970,000 ","  16,970,000 ",  -   ,,
8,กระบี่ เขาพนม อบต.เขาดิน,กระบี่,เขาพนม,อบต.,อบต.เขาดิน,3,"  26,944,500 ","  25,359,600 ","  1,584,900 ",1 ,"  3,323,500 ","  3,323,500 ",  -   ,,
9,กระบี่ เขาพนม อบต.เขาพนม,กระบี่,เขาพนม,อบต.,อบต.เขาพนม,2,"  14,240,000 ","  14,240,000 ",  -   ,2 ,"  14,240,000 ","  14,240,000 ",  -   ,,
10,กระบี่ เขาพนม อบต.โคกหาร,กระบี่,เขาพนม,อบต.,อบต.โคกหาร,2,"  6,314,000 ","  6,314,000 ",  -   ,2 ,"  6,314,000 ","  6,314,000 ",  -   ,,
11,กระบี่ เขาพนม อบต.พรุเตียว,กระบี่,เขาพนม,อบต.,อบต.พรุเตียว,3,"  19,013,500 ","  19,013,500 ",  -   ,2 ,"  10,074,500 ","  10,074,500 ",  -   ,,
12,กระบี่ เขาพนม อบต.สินปุน,กระบี่,เขาพนม,อบต.,อบต.สินปุน,4,"  30,027,000 ","  30,027,000 ",  -   ,2 ,"  10,358,000 ","  10,358,000 ",  -   ,,
13,กระบี่ เขาพนม อบต.หน้าเขา,กระบี่,เขาพนม,อบต.,อบต.หน้าเขา,5,"  32,477,700 ","  32,477,700 ",  -   ,2 ,"  6,352,700 ","  6,352,700 ",  -   ,,
14,กระบี่ คลองท่อม ทต.คลองท่อมใต้,กระบี่,คลองท่อม,ทต.,ทต.คลองท่อมใต้,17,"  91,391,800 ","  91,391,800 ",  -   ,15 ,"  78,397,200 ","  78,397,200 ",  -   ,,
15,กระบี่ คลองท่อม ทต.คลองพน,กระบี่,คลองท่อม,ทต.,ทต.คลองพน,9,"  14,704,600 ","  14,704,600 ",  -   ,5 ,"  9,784,800 ","  9,784,800 ",  -   ,,
16,กระบี่ คลองท่อม ทต.คลองพนพัฒนา,กระบี่,คลองท่อม,ทต.,ทต.คลองพนพัฒนา,9,"  72,356,300 ","  72,356,300 ",  -   ,6 ,"  42,847,900 ","  42,847,900 ",  -   ,,
17,กระบี่ คลองท่อม ทต.ทรายขาว,กระบี่,คลองท่อม,ทต.,ทต.ทรายขาว,17,"  121,940,500 ","  121,940,500 ",  -   ,13 ,"  88,924,900 ","  88,924,900 ",  -   ,,
18,กระบี่ คลองท่อม ทต.ห้วยน้ำขาว,กระบี่,คลองท่อม,ทต.,ทต.ห้วยน้ำขาว,7,"  28,139,500 ","  28,139,500 ",  -   ,6 ,"  19,983,100 ","  19,983,100 ",  -   ,,
19,กระบี่ คลองท่อม อบต.คลองท่อมใต้,กระบี่,คลองท่อม,อบต.,อบต.คลองท่อมใต้,6,"  22,112,400 ","  22,112,400 ",  -   ,4 ,"  8,894,000 ","  8,894,000 ",  -   ,,
20,กระบี่ คลองท่อม อบต.คลองท่อมเหนือ,กระบี่,คลองท่อม,อบต.,อบต.คลองท่อมเหนือ,9,"  45,185,100 ","  45,185,100 ",  -   ,3 ,"  15,609,000 ","  15,609,000 ",  -   ,,
21,กระบี่ คลองท่อม อบต.พรุดินนา,กระบี่,คลองท่อม,อบต.,อบต.พรุดินนา,4,"  26,991,200 ","  26,991,200 ",  -   ,1 ,"  9,896,200 ","  9,896,200 ",  -   ,,
22,กระบี่ คลองท่อม อบต.เพหลา,กระบี่,คลองท่อม,อบต.,อบต.เพหลา,4,"  28,523,000 ","  28,523,000 ",  -   ,2 ,"  18,380,000 ","  18,380,000 ",  -   ,,
23,กระบี่ ปลายพระยา ทต.ปลายพระยา,กระบี่,ปลายพระยา,ทต.,ทต.ปลายพระยา,10,"  29,162,800 ","  29,162,800 ",  -   ,9 ,"  26,662,800 ","  26,662,800 ",  -   ,,
24,กระบี่ ปลายพระยา อบต.เขาเขน,กระบี่,ปลายพระยา,อบต.,อบต.เขาเขน,4,"  28,146,100 ","  28,146,100 ",  -   ,2 ,"  8,573,900 ","  8,573,900 ",  -   ,,
25,กระบี่ ปลายพระยา อบต.เขาต่อ,กระบี่,ปลายพระยา,อบต.,อบต.เขาต่อ,4,"  19,786,400 ","  19,786,400 ",  -   ,2 ,"  9,570,000 ","  9,570,000 ",  -   ,,
26,กระบี่ ปลายพระยา อบต.คีรีวง,กระบี่,ปลายพระยา,อบต.,อบต.คีรีวง,3,"  18,514,400 ","  18,514,400 ",  -   ,2 ,"  17,492,400 ","  17,492,400 ",  -   ,,
27,กระบี่ ปลายพระยา อบต.ปลายพระยา,กระบี่,ปลายพระยา,อบต.,อบต.ปลายพระยา,1,"  2,500,000 ","  2,500,000 ",  -   ,1 ,"  2,500,000 ","  2,500,000 ",  -   ,,
28,กระบี่ เมืองกระบี่ ทต.กระบี่น้อย,กระบี่,เมืองกระบี่,ทต.,ทต.กระบี่น้อย,9,"  60,922,000 ","  59,690,200 ","  1,231,800 ",2 ,"  10,969,000 ","  10,969,000 ",  -   ,,
29,กระบี่ เมืองกระบี่ อบต.เขาคราม,กระบี่,เมืองกระบี่,อบต.,อบต.เขาคราม,2,"  12,153,000 ","  12,153,000 ",  -   ,2 ,"  12,153,000 ","  12,153,000 ",  -   ,,
30,กระบี่ เมืองกระบี่ อบต.เขาทอง,กระบี่,เมืองกระบี่,อบต.,อบต.เขาทอง,,,,,,,,,,
31,กระบี่ เมืองกระบี่ อบต.คลองประสงค์,กระบี่,เมืองกระบี่,อบต.,อบต.คลองประสงค์,4,"  28,262,200 ","  28,262,200 ",  -   ,3 ,"  18,334,200 ","  18,334,200 ",  -   ,,
32,กระบี่ เมืองกระบี่ อบต.ทับปริก,กระบี่,เมืองกระบี่,อบต.,อบต.ทับปริก,6,"  24,541,000 ","  24,541,000 ",  -   ,4 ,"  13,627,000 ","  13,627,000 ",  -   ,,
33,กระบี่ เมืองกระบี่ อบต.ไสไทย,กระบี่,เมืองกระบี่,อบต.,อบต.ไสไทย,1,"  3,101,000 ","  3,101,000 ",  -   ,1 ,"  3,101,000 ","  3,101,000 ",  -   ,,
34,กระบี่ เมืองกระบี่ อบต.หนองทะเล,กระบี่,เมืองกระบี่,อบต.,อบต.หนองทะเล,6,"  23,663,000 ","  23,663,000 ",  -   ,6 ,"  23,663,000 ","  23,663,000 ",  -   ,,
35,กระบี่ เมืองกระบี่ อบต.อ่าวนาง,กระบี่,เมืองกระบี่,อบต.,อบต.อ่าวนาง,14,"  99,414,700 ","  94,841,900 ","  4,572,800 ",8 ,"  36,903,700 ","  36,903,700 ",  -   ,,
36,กระบี่ ลำทับ ทต.ลำทับ,กระบี่,ลำทับ,ทต.,ทต.ลำทับ,5,"  18,749,600 ","  18,749,600 ",  -   ,4 ,"  14,999,600 ","  14,999,600 ",  -   ,,
