 ลำดับ, ชื่อท้องถิ่น, อำเภอ, จังหวัด, พื้นที่ (ตร.กม.), ปชก.ณ 30กันยายน62, ภาษีที่ดินและสิ่งปลูกสร้าง, ภาษีโรงเรือนและที่ดิน, ภาษีบำรุงท้องที่, ภาษีป้าย, อากรการฆ่าสัตว์, อากรรังนกอีแอ่น, ภาษีบำรุง อบจ. จากสถานค้าปลีกยาสูบ, ภาษีบำรุง อบจ. จากสถานค้าปลีกน้ำมัน, ค่าธรรมเนียมบำรุง อบจ. จากผู้เข้าพักโรงแรม, ค่าธรรมเนียม, ทรัพย์สิน, สาธารณูปโภค, เบ็ดเตล็ด, รวมรายได้จัดเก็บเอง, ภาษีและค่าธรรมเนียมรถยนต์หรือล้อเลื่อน, -  ภาษีมูลค่าเพิ่มที่จัดเก็บตามประมวลรัษฎากร 5%(อบจ),  - ภาษีมูลค่าเพิ่มตามกฎหมายท้องถิ่น,  - ภาษีมูลค่าเพิ่มตาม พ.ร.บ.กำหนดแผนฯ, ภาษีธุรกิจเฉพาะ, ภาษีสุรา, ภาษีสรรพสามิต, ภาษีการพนัน, ภาษียาสูบ, อากรประมง, ค่าภาคหลวงไม้, ค่าภาคหลวงแร่, ค่าภาคหลวงปิโตรเลียม, รายได้จากกฎหมายอุทยานแห่งชาติ, ค่าธรรมเนียมน้ำบาดาล, ค่าธรรมเนียมการจดทะเบียนสิทธิและนิติกรรมตามประมวลกฎหมายที่ดิน, ภาษีจัดสรรอื่น, รวมรายได้จากรัฐจัดสรร, เงินอุดหนุนทั่วไป, เงินอุดหนุนเฉพาะกิจ, รายได้จากเงินอุดหนุน, รวมรายได้ทั้งสิ้น
  1 , กรุงเทพมหานคร,,,"  1,568.74 ","  5,664,079.00 ","  1,255,634,806.50 ","  1,632,361,644.82 ","  26,664,636.39 ","  876,335,782.07 ","  788,702.00 ",,,"  198,473,328.34 ",,"  1,154,640,072.28 ","  1,077,959,569.46 ","  49,410,000.00 ","  1,548,180,007.36 ","  7,820,448,549.22 ","  14,253,378,086.71 ",  -   ,"  21,853,030,990.02 ","  4,712,194,307.31 ","  3,721,047,707.41 ",,"  4,294,190,909.61 ","  9,589,949.75 ",,,,,,,,"  13,119,563,226.00 ","  109,461,399.66 ","  62,072,456,576.47 ","  20,014,390,929.69 ","  2,036,091,005.98 ","  22,050,481,935.67 ","  91,943,387,061.36 "
  2 , เมืองพัทยา , บางละมุง , ชลบุรี ,  208.10 ,"  119,396.00 ","  22,558,732.38 ","  100,967,286.83 ","  621,624.72 ","  52,542,801.80 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  105,295,486.08 ","  65,232,000.90 ","  1,658,216.22 ","  18,491,247.91 ","  367,367,396.84 ","  12,108,544.04 ",  -   ,"  39,968,459.83 ","  858,862,662.15 ",  -   ,  -   ,"  90,046,915.52 ",  -   ,  -   ,  -   ,  -   ,"  1,861,844.41 ","  583,617.32 ",  -   ,  -   ,"  404,928,458.00 ","  14,232,431.39 ","  1,422,592,932.66 ",  -   ,"  2,099,861,676.77 ","  2,099,861,676.77 ","  3,889,822,006.27 "
  3 , อบจ.กระบี่, เมืองกระบี่, กระบี่,,,  -   ,  -   ,  -   ,  -   ,  -   ,"  46,449.52 ","  17,311,155.78 ","  5,332,339.39 ","  21,490,266.80 ","  13,952,409.19 ","  16,075,276.16 ",  -   ,"  1,211,558.60 ","  75,419,455.44 ","  180,880,039.87 ","  39,343,365.48 ",  -   ,"  89,359,787.77 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,"  5,488,295.32 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  315,071,488.44 ","  196,402,100.00 ",  -   ,"  196,402,100.00 ","  586,893,043.88 "
  4 , เทศบาลเมืองกระบี่, เมืองกระบี่, กระบี่,  19.00 ,"  32,623.00 ","  3,677,261.36 ","  6,579,298.16 ","  269,931.91 ","  9,122,257.25 ","  43,670.00 ","  46,449.52 ",  -   ,  -   ,  -   ,"  21,191,663.87 ","  22,722,627.50 ","  5,625,752.77 ","  6,483,555.58 ","  75,762,467.92 ","  1,919,012.52 ",  -   ,"  14,706,519.14 ","  49,516,013.51 ","  1,791,249.47 ",  -   ,"  24,402,187.65 ",  -   ,  -   ,  -   ,  -   ,"  388,605.37 ","  216,185.79 ",  -   ,  -   ,"  20,040,787.00 ",  -   ,"  112,980,560.45 ","  150,355,564.00 ","  115,822,158.02 ","  266,177,722.02 ","  454,920,750.39 "
  5 , เทศบาลตำบลเกาะลันตาใหญ่, เกาะลันตา, กระบี่,  0.81 ,"  1,190.00 ","  21,192.49 ",  -   ,  80.58 ,"  134,171.60 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  63,342.95 ","  1,531,175.61 ",  -   ,"  2,352.06 ","  1,752,315.29 ","  427,402.36 ",  -   ,"  539,783.45 ","  13,613,979.35 ","  67,156.31 ",  -   ,"  895,967.46 ",  -   ,  -   ,  -   ,  -   ,"  14,527.88 ","  7,969.23 ",  -   ,  -   ,"  79,779.00 ","  47,390.42 ","  15,693,955.46 ","  10,066,696.00 ",  -   ,"  10,066,696.00 ","  27,512,966.75 "
  6 , เทศบาลตำบลศาลาด่าน, เกาะลันตา, กระบี่,  38.13 ,"  6,796.00 ","  887,810.34 ","  4,476.00 ",  605.11 ,"  890,455.00 ",  -   ,"  46,449.52 ",  -   ,  -   ,  -   ,"  2,065,163.60 ","  365,151.43 ","  94,575.00 ","  80,325.69 ","  4,435,011.69 ","  691,005.49 ",  -   ,"  3,042,241.51 ","  8,284,085.04 ","  369,018.14 ",  -   ,"  5,047,727.24 ",  -   ,  -   ,  -   ,  -   ,"  80,226.56 ","  44,698.76 ",  -   ,"  6,620.00 ","  4,644,463.00 ",  -   ,"  22,210,085.74 ","  21,910,377.00 ",  -   ,"  21,910,377.00 ","  48,555,474.43 "
  7 , เทศบาลตำบลเขาพนม, เขาพนม, กระบี่,  12.92 ,"  5,822.00 ","  251,331.65 ","  5,473.88 ",  -   ,"  1,001,538.00 ","  65,602.00 ","  46,449.52 ",  -   ,  -   ,  -   ,"  965,159.70 ","  3,542,969.89 ","  1,654,675.24 ","  763,358.59 ","  8,296,558.47 ","  645,953.34 ",  -   ,"  2,615,246.27 ","  13,930,358.84 ","  310,939.19 ",  -   ,"  4,339,589.20 ",  -   ,  -   ,  -   ,  -   ,"  69,248.31 ","  38,462.76 ",  -   ,  -   ,"  2,183,351.00 ",  -   ,"  24,133,148.91 ","  34,326,025.00 ","  10,288,298.00 ","  44,614,323.00 ","  77,044,030.38 "
  8 , เทศบาลตำบลคลองท่อมใต้, คลองท่อม, กระบี่,  2.70 ,"  3,642.00 ","  116,584.67 ","  3,690.00 ",  -   ,"  419,698.00 ","  26,080.00 ","  46,449.52 ",  -   ,  -   ,  -   ,"  563,748.00 ","  3,782,423.49 ","  812,708.38 ","  1,486,513.21 ","  7,257,895.27 ","  552,254.39 ",  -   ,"  1,728,268.63 ","  13,302,243.20 ","  219,990.97 ",  -   ,"  2,869,038.24 ",  -   ,  -   ,  -   ,  -   ,"  46,803.91 ","  25,553.21 ",  -   ,  -   ,"  1,113,612.00 ",  -   ,"  19,857,764.55 ","  44,822,029.00 ","  28,869,125.00 ","  73,691,154.00 ","  100,806,813.82 "
  9 , เทศบาลตำบลคลองพน, คลองท่อม, กระบี่,  7.65 ,"  2,945.00 ","  108,158.39 ",  450.00 ,  -   ,"  289,355.00 ",  -   ,"  46,449.52 ",  -   ,  -   ,  -   ,"  317,308.75 ","  974,015.78 ",  -   ,"  92,676.03 ","  1,828,413.47 ","  513,193.21 ",  -   ,"  1,354,155.26 ","  12,709,703.29 ","  169,632.00 ",  -   ,"  2,247,043.73 ",  -   ,  -   ,  -   ,  -   ,"  35,886.65 ","  19,919.61 ",  -   ,  -   ,"  994,911.00 ",  -   ,"  18,044,444.75 ","  18,049,289.00 ","  4,931,025.00 ","  22,980,314.00 ","  42,853,172.22 "
  10 , เทศบาลตำบลคลองพนพัฒนา, คลองท่อม, กระบี่,  183.31 ,"  17,200.00 ","  18,895.01 ","  1,550.00 ","  4,110.89 ","  58,871.00 ",  -   ,"  46,449.52 ",  -   ,  -   ,  -   ,"  973,801.45 ","  455,262.81 ",  -   ,"  51,248.00 ","  1,610,188.68 ","  1,180,109.04 ",  -   ,"  7,698,955.34 ","  11,873,978.96 ","  330,137.32 ",  -   ,"  12,778,941.83 ",  -   ,  -   ,  -   ,  -   ,"  163,568.99 ","  157,041.92 ",  -   ,  -   ,"  3,205,997.82 ",  -   ,"  37,388,731.22 ","  45,944,947.00 ","  141,261.00 ","  46,086,208.00 ","  85,085,127.90 "
